USGS_eventID,magnitude,depth(km),source_lat,source_lon,rake_angle,station_name,station_type,elev(m),station_lat,station_lon,rdist(km),fault_type,Ia_geom,Ia_arith,Ia_max,CAV_geom,CAV_arith,CAV_max,CAV5_geom,CAV5_arith,CAV5_max,CAVstd_geom,CAVstd_arith,CAVstd_max,Vs30,PGA,PGV
usp000a1b0,6.7,10,35.456,133.134,,YMGH10,KIKnet,,34.4837,131.6329,179.6162974,,7.80E-05,7.82E-05,8.46E-05,120.0063106,120.0469591,123.1707094,16.41649978,16.44505724,17.41378964,0,0,0,525.6781193,,
usp000a1b0,6.7,10,35.456,133.134,,YMGH11,KIKnet,,34.2091,131.6859,192.7194539,,4.12E-05,4.27E-05,5.40E-05,95.46452307,96.26326742,108.6383024,5.537953438,6.651268472,10.33507683,0,0,0,710.9375,,
usp000a1b0,6.7,10,35.456,133.134,,YMGH12,KIKnet,,34.2176,131.3597,216.5227546,,7.13E-06,7.28E-06,8.73E-06,40.5228739,40.66076339,44.00656231,0,0.01269303,0.025386059,0,0,0,1287.938931,,
usp000a1b0,6.7,10,35.456,133.134,,YMGH13,KIKnet,,34.3408,131.177,223.9576233,,3.61E-05,3.85E-05,5.20E-05,82.42467502,83.50178644,96.87045452,7.374963133,8.093733327,11.42816551,0,0,0,403.8461538,,
usp000d6vk,6.6,16,37.226,138.779,,CHB001,Knet,,35.9595,139.8733,173.0116457,,0.000502245,0.000502521,0.000519154,309.7406356,309.8609152,318.493728,81.81622693,82.0396827,88.09067837,90.43400049,90.51420796,94.32385334,226.5,,
usp000d6vk,6.6,16,37.226,138.779,,CHB003,Knet,,35.7943,140.0564,197.2959584,,0.000385515,0.000385621,0.00039464,264.110728,264.227722,272.0898118,66.24962636,66.45617157,71.69160347,68.70575879,68.70595109,68.86850466,187.2,,
usp000d6vk,6.6,16,37.226,138.779,,CHB007,Knet,,35.7234,140.2267,212.353448,,0.000143113,0.000143113,0.000143503,176.082718,176.095738,178.2370868,30.23854144,30.24028855,30.56534735,0,4.676415011,9.352830022,235.5,,
usp000d6vk,6.6,16,37.226,138.779,,CHB008,Knet,,35.6537,139.9023,204.0051642,,0.000185088,0.000185167,0.000190584,295.9810761,296.4020483,312.1937177,31.07765108,31.13340061,32.99572092,0,0,0,143.4,,
usp000d6vk,6.6,16,37.226,138.779,,CHB012,Knet,,35.5727,140.3333,231.6046674,,6.37E-05,6.38E-05,6.68E-05,136.2898586,136.3674116,140.9658224,11.86160552,11.87995888,12.54006292,0,0,0,244.7,,
usp000d6vk,6.6,16,37.226,138.779,,CHB014,Knet,,35.4769,140.0489,227.5219207,,9.72E-05,9.72E-05,9.81E-05,190.9456064,191.11199,199.0849516,19.12675123,19.13989449,19.84908317,0,0,0,166,,
usp000d6vk,6.6,16,37.226,138.779,,CHB024,Knet,,35.6335,140.0784,213.5832914,,8.89E-05,8.90E-05,9.21E-05,170.5134748,170.6198273,176.6431451,16.51952389,16.52120434,16.75683834,0,0,0,231.6,,
usp000d6vk,6.6,16,37.226,138.779,,CHB026,Knet,,35.3872,140.237,244.4431363,,3.31E-05,3.31E-05,3.36E-05,178.6808516,178.6808739,178.7701507,1.92607737,1.995180311,2.515728522,0,0,0,294.5953308,,
usp000d6vk,6.6,16,37.226,138.779,,FKS001,Knet,,37.7949,140.9196,189.8187652,,4.29E-05,4.33E-05,4.96E-05,100.2789257,100.3253521,103.3771298,6.80421395,6.917857775,8.166628659,0,0,0,242.2,,
usp000d6vk,6.6,16,37.226,138.779,,FKS004,Knet,,37.6799,140.7346,170.7183373,,1.25E-05,1.25E-05,1.29E-05,51.42346612,51.42678992,52.01147227,0.439041342,0.439150738,0.448952288,0,0,0,306.8,,
usp000d6vk,6.6,16,37.226,138.779,,FKS005,Knet,,37.6385,140.9849,191.2878919,,3.01E-05,3.03E-05,3.41E-05,84.41993316,84.58598448,89.88349859,4.393743181,4.495003947,5.443730116,0,0,0,426.4,,
usp000d6vk,6.6,16,37.226,138.779,,FKS006,Knet,,37.5031,140.7588,169.1555152,,0.000167383,0.000186292,0.000268071,154.7810939,155.5750259,171.2722126,30.65544292,32.50816997,43.32597632,0,33.0401661,66.0803322,222,,
usp000d6vk,6.6,16,37.226,138.779,,FKS007,Knet,,37.4061,140.9632,186.1660233,,3.27E-05,3.27E-05,3.41E-05,80.63140694,80.68768122,83.70067234,5.59184664,5.592168799,5.652194118,0,0,0,431,,
usp000d6vk,6.6,16,37.226,138.779,,FKS008,Knet,,37.4363,140.5668,151.4373556,,0.000114419,0.000119353,0.000153317,128.3600623,128.8764908,140.4023001,24.21471738,25.3283373,32.7561319,8.946621846,9.06545163,10.52845225,324,,
usp000d6vk,6.6,16,37.226,138.779,,FKS009,Knet,,37.2778,140.6349,156.7802653,,2.77E-05,2.77E-05,2.94E-05,70.43043902,70.50979587,73.85413046,4.401451873,4.415676242,4.769820407,0,0,0,283.2,,
usp000d6vk,6.6,16,37.226,138.779,,FKS011,Knet,,37.0911,140.9035,182.1699295,,2.04E-05,2.04E-05,2.10E-05,73.08997439,73.12308068,75.32321075,0.899566735,0.901082266,0.953321518,0,0,0,286.4,,
usp000d6vk,6.6,16,37.226,138.779,,FKS012,Knet,,36.9069,140.7929,176.4284342,,8.42E-05,8.44E-05,8.91E-05,140.0791749,140.1146982,143.2695976,18.68893075,18.69581476,19.20311832,0,0,0,222.3,,
usp000d6vk,6.6,16,37.226,138.779,,FKS013,Knet,,37.09,140.5563,151.6390159,,5.89E-05,6.06E-05,7.50E-05,112.9878111,113.5025352,124.299759,10.87453496,12.09558936,17.39160402,0,0,0,264,,
usp000d6vk,6.6,16,37.226,138.779,,FKS014,Knet,,36.8683,140.43,146.6812703,,5.37E-05,5.41E-05,6.09E-05,84.65121173,84.74316333,88.68981806,12.02164201,12.07882022,13.25271176,0,2.998989863,5.997979725,475.3,,
usp000d6vk,6.6,16,37.226,138.779,,FKS015,Knet,,37.0217,140.3775,137.4629231,,1.26E-05,1.28E-05,1.51E-05,52.73820782,52.98029819,58.0392934,0.423966036,0.476314484,0.69340499,0,0,0,609.4,,
usp000d6vk,6.6,16,37.226,138.779,,FKS016,Knet,,37.1228,140.1914,119.0385556,,9.82E-05,9.83E-05,0.000101436,146.4608027,146.4679532,147.9152184,22.79455699,22.90361127,25.1360048,0,0,0,279.6,,
usp000d6vk,6.6,16,37.226,138.779,,FKS017,Knet,,37.2842,140.3689,133.1821738,,0.000175962,0.000175966,0.000177157,204.3825218,204.3956631,206.7133922,39.94479672,39.94493375,40.04956197,0,2.741049255,5.482098509,237.2,,
usp000d6vk,6.6,16,37.226,138.779,,FKS018,Knet,,37.3961,140.3622,133.0001304,,0.000102882,0.000102883,0.00010343,137.0371407,137.0431624,138.3278561,25.13823123,25.14125693,25.53129649,0,0,0,232.9,,
usp000d6vk,6.6,16,37.226,138.779,,FKS019,Knet,,37.603,140.4368,143.1573097,,9.01E-05,0.000102771,0.000152152,110.6033344,112.6986166,134.329165,19.63492109,21.79365721,31.25057894,0,0,0,259.4,,
usp000d6vk,6.6,16,37.226,138.779,,FKS020,Knet,,37.5474,140.1078,113.4618421,,0.000734572,0.000741871,0.000845677,485.1235556,486.4331249,522.102731,143.5340934,144.3970493,160.1600402,113.3362333,114.1212118,127.483442,133,,
usp000d6vk,6.6,16,37.226,138.779,,FKS021,Knet,,37.6535,139.8633,96.87914013,,0.000676544,0.000690264,0.000827206,266.4273543,266.9141255,283.0267065,79.06363509,79.38089753,86.47092568,107.1144498,107.5757432,117.5273853,370.5,,
usp000d6vk,6.6,16,37.226,138.779,,FKS022,Knet,,37.6002,139.6467,77.05803657,,0.003045988,0.003087437,0.003591647,729.7391007,730.8997841,772.0742826,258.0564101,258.7517597,277.7086141,399.623499,401.4357502,439.5372011,211.8,,
usp000d6vk,6.6,16,37.226,138.779,,FKS023,Knet,,37.4774,139.9294,96.33497089,,0.001030164,0.001032626,0.001103883,467.2524693,467.3716176,477.9242923,158.967484,159.0799108,165.0596302,213.4384316,213.695541,224.1750524,182.3,,
